# Residuals   
# Time        	Ux            	Uy            	Uz            
0             	N/A
0.00025       	1.000000e+00	1.000000e+00	1.000000e+00
0.0005        	3.273641e-01	3.062262e-01	3.115221e-01
0.00075       	1.160091e-01	9.273071e-02	1.038548e-01
0.001         	1.837272e-02	9.242502e-03	1.898768e-02
0.00125       	1.741189e-02	8.956548e-03	1.807342e-02
0.0015        	1.404516e-02	6.824299e-03	1.548876e-02
0.00175       	1.225911e-02	6.057051e-03	1.419344e-02
0.002         	1.076320e-02	5.505178e-03	1.309961e-02
0.00225       	9.662491e-03	5.245925e-03	1.231059e-02
0.0025        	8.744502e-03	5.002683e-03	1.163098e-02
0.00275       	8.025629e-03	4.841212e-03	1.107673e-02
0.003         	7.425036e-03	4.706058e-03	1.059863e-02
0.00325       	6.927316e-03	4.603713e-03	1.019196e-02
0.0035        	6.514491e-03	4.519682e-03	9.841180e-03
0.00375       	6.167165e-03	4.450266e-03	9.535050e-03
0.004         	5.870068e-03	4.389840e-03	9.262661e-03
0.00425       	5.614098e-03	4.337373e-03	9.013146e-03
0.0045        	5.391975e-03	4.290073e-03	8.783062e-03
0.00475       	5.198354e-03	4.246863e-03	8.573574e-03
0.005         	5.028030e-03	4.207000e-03	8.379795e-03
0.00525       	4.876767e-03	4.169639e-03	8.197917e-03
0.0055        	4.738949e-03	4.133048e-03	8.025841e-03
0.00575       	4.611909e-03	4.097550e-03	7.862352e-03
0.006         	4.494710e-03	4.064172e-03	7.702808e-03
0.00625       	4.387420e-03	4.030497e-03	7.550071e-03
0.0065        	4.284732e-03	3.997727e-03	7.402903e-03
0.00675       	4.188741e-03	3.965382e-03	7.259168e-03
0.007         	4.098552e-03	3.932662e-03	7.117991e-03
0.00725       	4.013813e-03	3.899949e-03	6.979574e-03
0.0075        	3.934374e-03	3.868067e-03	6.846371e-03
0.00775       	3.856558e-03	3.836094e-03	6.716474e-03
0.008         	3.783699e-03	3.804756e-03	6.593016e-03
0.00825       	3.713243e-03	3.774601e-03	6.473634e-03
0.0085        	3.644112e-03	3.744858e-03	6.357082e-03
0.00875       	3.578252e-03	3.715105e-03	6.244481e-03
0.009         	3.515202e-03	3.686207e-03	6.135190e-03
0.00925       	3.454929e-03	3.657459e-03	6.028444e-03
0.0095        	3.395536e-03	3.629292e-03	5.924459e-03
0.00975       	3.339677e-03	3.601538e-03	5.822807e-03
0.01          	3.287173e-03	3.574106e-03	5.726080e-03
